127.0.0.1 - - [18/Aug/2019:22:37:35 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:02 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:02 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:35 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 18287
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:35 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:35 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:35 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:35 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar3.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:35 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:36 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar2.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:36 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar4.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:36 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar5.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:36 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/user.jpg HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:36 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:36 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:46:36 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:47:39 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 15142
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:47:39 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:47:39 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:47:39 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/user.jpg HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:47:39 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:47:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:47:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:47:40 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:04 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:04 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:04 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:48:04 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
